Machine Type,MACHINE,Problem Description,Root Cause,Action Taken
Assembly Station,PRE-APMT,"Upload data error, Initialization not completed Whole machine",Machine not Initialization not done because D Drive full,"Clean machine fixture , Calibration block, restart both PC"
Welding Machine,WELDING SPOT INSPECTION & BMU TAPE STICKING,Feeder 01 CCD NG again and again Feeder,Tape roller Alignment not good,Change roll from feeder 02 and start machine
General Equipment,PLASMA CLEANING AND VHB PASTING,"Vacuum not achive, VHB Picking Air connector Damage VHB sticking",PU connector damage,Change Pu connector
General Equipment,WATER INGRESS TAPE WRAPPING,Centrifugal Cylinder not ON Tear centrifugal Paper,Centrifugal Cylinder PU connector damage,Change pu connector
Assembly Station,PRE-APMT,"FAI15 NG issue , water ingress tape wrapping not proper Whole machine","Cut mark on wrapping roller , roller rubber damage",Change wrapping roller
General Equipment,LEAKAGE TESTING,Machine Initialing Issue Whole machine,TPO & TP01 axis not initialized,"Chamber A position TP1 & TP0 teached , then initialized the machine"
General Equipment,PLASMA CLEANING AND VHB PASTING,Plasma not done Plasma cleaning,Plasma Belt damage,Plasma Belt changed
Assembly Station,POST-APMT,FAI91 NG Issue Whole machine,PCM getting placed in forward side,Adjust cylinder flow and position
Loading System,PCM LOADING,PCM Tray drop due to vacuum problem PCM tray feeding,PCM Tray drop due to Vacuum not Achieve(-50KPA),Change vacuum Cup and Ingress air flow
Assembly Station,PRE-APMT,Calibration issue Whole machine,Calibration issue/ machine not clear inside dust,Clean All machine then Calibrate machine
Assembly Station,POST-APMT,Fixture vacuum fail ST20 axis,ST-20 Axis module-B fixture vacuum alarm due to vacuum level was not achieve up to -40kp.,Check and found that forging material found in pressure switch hole so cleaned it and filter provided in the path.
General Equipment,COSMETIC TAPE WRAPPING,Cosmetic wrapping not proper Whole machine,Cosmetic tape roller misaligned,Side and upper roller adjust And set drop position
Assembly Station,POST-APMT,Load robot Position camera offset alarm Load Robot camera,ST-30 showing alarm D drive full,"Clear D-drive Data & restart PC , Run the machine"
General Equipment,PCM TAB BENDING,Server PLC abnormal Server PLC,Ethernet cable not ok,Change ethernet cable
Assembly Station,POST-APMT,Down servo move out Alarm Whole machine,Limit sensor not working,Change limit sensor
General Equipment,WHOLE LINE,FAI91 NG in higher side,Stopper got losse,Forming cylinder stopper tighted
General Equipment,WHOLE LINE,FAI94 NG in higher side,Due to Cell corner come outside in raw material,Inform to IQA team then 100% segregation done
General Equipment,PCM TAB BENDING,FAI 122 fail in left side Whole machine,PCM tab damage during process,Bend screw cylinder angle set
General Equipment,ITS SYSTEM,ITS not working ITS system,During analysis we found mover no. 84&18 free on ITS,ITS Initialized And empty run one round
Loading System,CELL LOADING,BOF 01 cylinder not working Conveyer Belt,Air leakag from BOF 01 cylinder,Change Cylinder
General Equipment,PLASMA CLEANING AND VHB PASTING,Turn table CCD Timeout Alarm Turn table,CCD software hang,Restart the PC And clear part in the machine & clear memory
General Equipment,WATER INGRESS TAPE WRAPPING,Tear Centrifugal paper clamping cylinder not on Tear centrifugal Paper,Cylinder connector broken,Change PU connector
General Equipment,WATER INGRESS TAPE WRAPPING,Tear Centrifugal paper Rotary cylinder not on Tear centrifugal Paper,Rotary cylinder damage,Change Rotary cylinder
General Equipment,PLASMA CLEANING AND VHB PASTING,FAI 80 NG due to VHB Tilted VHB sticking,VHB Sticking R-1 Axis Position Disturb,R-1 position set
General Equipment,LEAKAGE TESTING,Chamber A testing Result NG Testing Chamber,PPB meter Calibration Not done,ALL Ng part remove & Zero calibration done Of PPB meter
Assembly Station,POST-APMT,"Machine Initialization not complete, Data not Upload Whole machine",Machine not Initialization not done,"Clean machine fixture , Calibration block, restart both PC"
General Equipment,FUNCTION TESTING-1,Robot 01 Alarm at channel No-06 Robot,Robot communication fail,Restart robot controller & Clear memory of robot
General Equipment,PLASMA CLEANING AND VHB PASTING,VHB Picking Air connector Damage VHB sticking,PU connector damage,Change Pu connector
General Equipment,LEAKAGE TESTING,PC & PLC Commination error UPPER COMPUTER,Communicated with PC,PC hang
General Equipment,FUNCTION TESTING-2,Robot 3 CCD NG Again & again Robot,CCD mounting loss,"Robot 03 camera mounting tight properly, set parameter"
General Equipment,WATER INGRESS TAPE WRAPPING,Centrifugal Cylinder PU connector damage Tear centrifugal Paper,PU connector damage,Change pu connector
General Equipment,WATER INGRESS TAPE WRAPPING,Centrifugal Cylinder Reed Switch wire broken Tear centrifugal Paper,Cylinder reed switch wire broken,Change reed switch
Assembly Station,PRE-APMT,Carry axis Fail Alarm Carry axis,Carry axis fetch Cylinder loss,Manually adjust cylinder
General Equipment,LEAKAGE TESTING,Machine Initialling Issue Whole machine,TPO & TP01 axis not initialized,"Chamber A teaching done , then initialized the machine"
General Equipment,FUNCTION TESTING-2,Robot 03 Alarm Robot,Robot 03 Free due to 24v supply break,Increase 24v supply from SMPS
General Equipment,WATER INGRESS TAPE STICKING,HMI Hang problem HMI,HMI not working/ HMI hang,Problem solve with chain support After some time reset power then working
Loading System,CELL LOADING,Cell feeding arm Vacuum issue Cell feeding arm,Vacuum issue/ vacuum not achieve at feeding arm due to air flow connector Valve lose,"Check connector and tight, set air flow controller adjust"
General Equipment,PLASMA CLEANING AND VHB PASTING,Device Not Response show popup on HMI HMI,Device not response Error come on HMI & All VHB Judge wrong,Restart PC then Turn Table memory clear
Assembly Station,PRE & POST- APMT,Calibration issue Whole machine,Calibration issue/ machine not clear inside dust,Clean All machine then Calibrate machine
General Equipment,PCM TAB BENDING,"Machine Not run , all alarm showing in chains language Whole machine",PLC program corrupt due to Dashboard updating work has done by the Chinese Team,Restore the Old setting and after finish the production modified the program.
Assembly Station,PRE-APMT,Turn table error Turn table,ST-10 Turn table homing sensor alarm,Checked and found that Homing sensor mounting disturbed due to sensor nut open and stuck with bolt so Fix the sensor properly and locked with up/dn nut.
Assembly Station,POST-APMT,Fixer vacuum fail ST20 axis,ST-20 Axis module-B fixture vacuum alarm due to vacuum level was not achieve up to -40kp.,Check and found that forging material found in pressure switch hole so cleaned it and filter provided in the path.
Loading System,PCM LOADING,Driver Mode Alarm Whole machine,Drive mode alarm due to communication lost of PCM 1 drive,Checked and cleaned all Ethernet cable of all Drive and run the machine
Assembly Station,POST-APMT,Load Robot Reset fail alarm Robot,Calibration issue / offset file is full,"Delete the offset file, then given offset , calibration done"
